prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
study_type,Adverse Effect Mitigation Study,Adverse Effect Mitigation Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Ancillary Study,Ancillary Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Basic Science Research,Basic Science Research,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Correlative Study,Correlative Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Cure Study,Cure Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Device Feasibility Study,Device Feasibility Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Diagnosis Study,Diagnosis Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Disease Modifying Treatment Study,Disease Modifying Treatment Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Early Detection Study,Early Detection Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Education Training Clinical Study,Education Training Clinical Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Epidemiology Research,Epidemiology Research,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Genomics Research,Genomics Research,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Health Services Research,Health Services Research,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Imaging Research,Imaging Research,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Interventional,Interventional,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Observational Study,Observational Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Outcomes Research,Outcomes Research,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Prevention Study,Prevention Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Proteomic Research,Proteomic Research,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Rehabilitation Clinical Study,Rehabilitation Clinical Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Screening Study,Screening Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Supportive Care Study,Supportive Care Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Transcriptomics Research,Transcriptomics Research,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_type,Treatment Study,Treatment Study,A classification of the study based upon the primary intent of the study's,CTDC,1.22.2-5c0d1c3,study
study_age_group,https://cadsr.cancer.gov/onedata/Home.jsp,,The identifiable class of the study participant based upon their age.,CTDC,1.22.2-5c0d1c3,study
image_type_included,CT,CT,"A system of categories for representing a specific manner, characteristic,",CTDC,1.22.2-5c0d1c3,image_collection
image_type_included,DX,DX,"A system of categories for representing a specific manner, characteristic,",CTDC,1.22.2-5c0d1c3,image_collection
image_type_included,MR,MR,"A system of categories for representing a specific manner, characteristic,",CTDC,1.22.2-5c0d1c3,image_collection
image_type_included,NM,NM,"A system of categories for representing a specific manner, characteristic,",CTDC,1.22.2-5c0d1c3,image_collection
image_type_included,PT,PT,"A system of categories for representing a specific manner, characteristic,",CTDC,1.22.2-5c0d1c3,image_collection
image_type_included,US,US,"A system of categories for representing a specific manner, characteristic,",CTDC,1.22.2-5c0d1c3,image_collection
collection_access,Cloud,Cloud,The methods by which a user can obtain an image set. Indicator as to whether,CTDC,1.22.2-5c0d1c3,image_collection
collection_access,Download,Download,The methods by which a user can obtain an image set. Indicator as to whether,CTDC,1.22.2-5c0d1c3,image_collection
collection_access,Unrestricted,Unrestricted,The methods by which a user can obtain an image set. Indicator as to whether,CTDC,1.22.2-5c0d1c3,image_collection
biomarker_results_available,Yes,Yes,An indicator as to whether any biomarker results relating to the,CTDC,1.22.2-5c0d1c3,participant
biomarker_results_available,No,No,An indicator as to whether any biomarker results relating to the,CTDC,1.22.2-5c0d1c3,participant
biomarker_results_available,Unknown,Unknown,An indicator as to whether any biomarker results relating to the,CTDC,1.22.2-5c0d1c3,participant
radiology_report_available,Yes,Yes,An indicator as to whether any radiology reports results,CTDC,1.22.2-5c0d1c3,participant
radiology_report_available,No,No,An indicator as to whether any radiology reports results,CTDC,1.22.2-5c0d1c3,participant
radiology_report_available,Unknown,Unknown,An indicator as to whether any radiology reports results,CTDC,1.22.2-5c0d1c3,participant
radiology_images_available,Yes,Yes,An indicator as to whether any radiology images relating,CTDC,1.22.2-5c0d1c3,participant
radiology_images_available,No,No,An indicator as to whether any radiology images relating,CTDC,1.22.2-5c0d1c3,participant
radiology_images_available,Unknown,Unknown,An indicator as to whether any radiology images relating,CTDC,1.22.2-5c0d1c3,participant
histology_images_available,Yes,Yes,An indicator as to whether any histology images relating,CTDC,1.22.2-5c0d1c3,participant
histology_images_available,No,No,An indicator as to whether any histology images relating,CTDC,1.22.2-5c0d1c3,participant
histology_images_available,Unknown,Unknown,An indicator as to whether any histology images relating,CTDC,1.22.2-5c0d1c3,participant
race,American Indian or Alaska Native,American Indian or Alaska Native,The text for reporting information about race based on the Office of Management,CTDC,1.22.2-5c0d1c3,demographic
race,Asian,Asian,The text for reporting information about race based on the Office of Management,CTDC,1.22.2-5c0d1c3,demographic
race,Black or African American,Black or African American,The text for reporting information about race based on the Office of Management,CTDC,1.22.2-5c0d1c3,demographic
race,Native Hawaiian or other Pacific Islander,Native Hawaiian or other Pacific Islander,The text for reporting information about race based on the Office of Management,CTDC,1.22.2-5c0d1c3,demographic
