prop_handle,description,enum_count,enum_values
study_type,A classification of the study based upon the primary intent of the study's,24,Adverse Effect Mitigation Study|Ancillary Study|Basic Science Research|Correlative Study|Cure Study|Device Feasibility Study|Diagnosis Study|Disease Modifying Treatment Study|Early Detection Study|Education Training Clinical Study|Epidemiology Research|Genomics Research|Health Services Research|Imaging Research|Interventional|Observational Study|Outcomes Research|Prevention Study|Proteomic Research|Rehabilitation Clinical Study|Screening Study|Supportive Care Study|Transcriptomics Research|Treatment Study
study_age_group,The identifiable class of the study participant based upon their age.,1,https://cadsr.cancer.gov/onedata/Home.jsp
image_type_included,"A system of categories for representing a specific manner, characteristic,",6,CT|DX|MR|NM|PT|US
collection_access,The methods by which a user can obtain an image set. Indicator as to whether,3,Cloud|Download|Unrestricted
biomarker_results_available,An indicator as to whether any biomarker results relating to the,3,Yes|No|Unknown
radiology_report_available,An indicator as to whether any radiology reports results,3,Yes|No|Unknown
radiology_images_available,An indicator as to whether any radiology images relating,3,Yes|No|Unknown
histology_images_available,An indicator as to whether any histology images relating,3,Yes|No|Unknown
race,The text for reporting information about race based on the Office of Management,7,American Indian or Alaska Native|Asian|Black or African American|Native Hawaiian or other Pacific Islander|White|Not Reported|Unknown
ethnicity,The text for reporting information about ethnicity based on the Office,4,Hispanic or Latino|Not Hispanic or Latino|Not reported|Unknown
sex,A textual description of a person's sex at birth. CDE ID = 7572817,4,Female|Intersex|Male|Unknown
highest_level_of_education,An indication as to the highest level of education attained by,10,No formal education|Grade school|Not high school graduate|High school graduate (including equivalency)|Some college or Associate degree|Bachelor's degree|Master's degree|Doctoral or professional degree|Declined to answer|NA
environmental_exposure_type,"The category related to contact with chemical, biological, or physical",10,Asbestos Exposure|Chemical Exposure|Marijuana Smoke Exposure|Radiation Exposure|Radon Exposure|Respirable Crystalline Silica Exposure|Smoke Exposure|Smokeless Tobacco Exposure|Tobacco Related Exposure|Wood Dust Exposure
carcinogen_exposure,An indication of whether the participant was exposed to environmental/workplace,4,Yes|No|Unknown|NA
diagnosis_classification_system,The standard or agency upon which the specific term used as the diagnosis value was obtained.,4,NCI Thesaurus|MedDRA|ICD-O-3|ICD-10-CM
primary_diagnosis_disease_group,A term describing the main condition for evaluation and treatment as captured,14,"Colorectal cancer, NOS|Acute myeloid leukemia, NOS|Adenocarcinoma of the gastroesophageal junction|Melanoma|Myeloma, NOS|Non-small cell lung cancer, NOS|Prostate cancer, NOS|Small cell lung cancer|Invasive breast carcinoma|Fallopian tube carcinoma|Gastric cancer, NOS|Primary peritoneal carcinoma|Esophageal cancer, NOS|Ovarian epithelial cancer"
ctep_disease_term,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,13,Acute Myeloid Leukemia Not Otherwise Specified|Adenocarcinoma of the Gastroesophageal Junction|Colorectal Carcinoma|Gastric Carcinoma|Invasive Breast Carcinoma|Melanoma|Non-Small Cell Lung Carcinoma|Ovarian Carcinoma|Plasma Cell Myeloma|Prostate Carcinoma|Small Cell Lung Carcinoma|Esophageal Carcinoma|Fallopian Tube Carcinoma
meddra_disease_code,The MedDRA code describing a medical condition and/or anatomic location.,13,10000884|10066354|10010029|10006190|10053571|10029514|10033159|10028566|10036910|10041071|10017760|10030157|10016180
snomed_disease_term,Description pending,45,"Acute Myeloid Leukemia|Acute Myeloid Leukemia with Myelodysplasia-Related Changes|Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome|Adenocarcinoma|Amelanotic Melanoma|Breast Carcinoma|Colon Adenoma|Colon Carcinoma|Colorectal Adenocarcinoma|Cutaneous Melanoma|Epithelioid Cell Melanoma|Esophageal Adenocarcinoma|Esophageal Carcinoma|Fallopian Tube Carcinoma|Gastric Adenocarcinoma|Invasive Ductal Carcinoma, Not Otherwise Specified|Invasive Lobular Breast Carcinoma|Lung Carcinoma|Lung Papillary Adenoma|Lung Adenocarcinoma|Malignant neoplasm of ovary|Melanoma|Mucinous Adenocarcinoma|Multiple myeloma|Multiple myeloma and immunoproliferative disease|Neuroendocrine Carcinoma|Nodular Melanoma|Non-Small Cell Lung Carcinoma|Ovarian Carcinoma|Plasma Cell Leukemia|Plasma Cell Myeloma|Prostate Adenocarcinoma|Prostate Carcinoma|Rectal Adenoma|Rectal Carcinoma|Small Cell Carcinoma|Small Cell Lung Carcinoma|Squamous Cell Carcinoma|Squamous Cell Lung Carcinoma|Superficial Spreading Melanoma|Triple-Negative Breast Carcinoma|Anal Carcinoma|Invasive Ductal Carcinoma|Mixed Lobular and Ductal Breast Carcinoma|Female Breast Carcinoma"
